,N_hidden,a_train,a_val,c_train,c_val,decay rate,epochs,last_a_train,last_a_val,last_c_train,last_c_val,learning rate,momentum
0,50,"[0.3879, 0.3988, 0.4558, 0.4912, 0.4977]","[0.3529, 0.3558, 0.3784, 0.3904, 0.3881]","[1.7289227508960703, 1.800763531123166, 1.5848420530852623, 1.4480600870645044, 1.4013096948948565]","[1.821673688297391, 1.959752059867154, 1.8398415424982097, 1.8096660766782362, 1.8014151527660347]",0.995,5,0.4977,0.3881,1.4013096948948565,1.8014151527660347,0.48762437656093754,0.8
0,50,"[0.3658, 0.4254, 0.4439, 0.4929, 0.5212]","[0.3487, 0.3783, 0.3867, 0.4131, 0.4085]","[1.7705640138923477, 1.629137292521998, 1.5559475926812434, 1.4409448019063198, 1.355382132083726]","[1.824896188985931, 1.7490345798529556, 1.7479188681161337, 1.7196872970109143, 1.7110350147497058]",0.995,5,0.5212,0.4085,1.355382132083726,1.7110350147497058,0.24381218828046877,0.8
0,50,"[0.2964, 0.3858, 0.4225, 0.4629, 0.4817]","[0.2799, 0.3607, 0.3877, 0.4106, 0.4188]","[1.9453542807525082, 1.739451081470681, 1.62412734051955, 1.535498532362576, 1.4680830867110137]","[1.97440136638536, 1.7961845889163917, 1.722676830630066, 1.6731550099373709, 1.654931148933904]",0.995,5,0.4817,0.4188,1.4680830867110137,1.654931148933904,0.09752487531218751,0.8
0,50,"[0.2336, 0.3095, 0.3658, 0.3923, 0.4147]","[0.2209, 0.2961, 0.3487, 0.368, 0.3852]","[2.105400072430391, 1.9041501596757235, 1.795341797682628, 1.7094857849488865, 1.6456563546429164]","[2.120722124602799, 1.9343490868691842, 1.8370022524191547, 1.7725047211937754, 1.7302613519894279]",0.995,5,0.4147,0.3852,1.6456563546429164,1.7302613519894279,0.048762437656093754,0.8
0,50,"[0.2129, 0.2006, 0.2128, 0.2386, 0.2532]","[0.2051, 0.1874, 0.2023, 0.2273, 0.2402]","[2.2922577790693555, 2.253063457963188, 2.175433336465862, 2.0980841365349154, 2.0403768348013602]","[2.293020820217608, 2.256825750372272, 2.1853468356309493, 2.1142639287621545, 2.0616068810816213]",0.995,5,0.2532,0.2402,2.0403768348013602,2.0616068810816213,0.00975248753121875,0.8
0,50,"[0.1848, 0.2026, 0.2034, 0.201, 0.2046]","[0.1763, 0.191, 0.1894, 0.1903, 0.1947]","[2.2982318738186964, 2.290149920220608, 2.2725719446019816, 2.2396052695756326, 2.196943010383449]","[2.2986151343844705, 2.2911096124890937, 2.27470006246674, 2.2439225998020427, 2.2044290259159856]",0.995,5,0.2046,0.1947,2.196943010383449,2.2044290259159856,0.004876243765609375,0.8
0,50,"[0.1016, 0.1035, 0.1062, 0.1155, 0.13]","[0.1001, 0.1022, 0.1047, 0.112, 0.1263]","[2.3022923340559567, 2.30158087100129, 2.3008424488867765, 2.3000510108452534, 2.2991867749430406]","[2.3024417892018496, 2.3017834255791088, 2.301100766488381, 2.3003687294950788, 2.2995662065633846]",0.995,5,0.13,0.1263,2.2991867749430406,2.2995662065633846,0.000975248753121875,0.8
0,50,"[0.3624, 0.4163, 0.4562, 0.4551, 0.445]","[0.3374, 0.3639, 0.381, 0.3674, 0.3493]","[1.81170495663115, 1.6372084284165638, 1.5415529725314052, 1.6024275207491394, 1.5793599247202903]","[1.8995732969112302, 1.8216311198696526, 1.7989414089587612, 1.930197946635352, 1.9570985243420793]",0.995,5,0.445,0.3493,1.5793599247202903,1.9570985243420793,0.48762437656093754,0.8
0,50,"[0.3545, 0.4261, 0.4792, 0.4647, 0.5228]","[0.3381, 0.3863, 0.4056, 0.3905, 0.4162]","[1.797083434275349, 1.6139336772354493, 1.4892776064594024, 1.4863454832003633, 1.341008994517138]","[1.866704077991152, 1.749675857501399, 1.7155432204858407, 1.765545840601389, 1.6933946591798368]",0.995,5,0.5228,0.4162,1.341008994517138,1.6933946591798368,0.24381218828046877,0.8
0,50,"[0.2915, 0.376, 0.4191, 0.452, 0.4888]","[0.2746, 0.3541, 0.3805, 0.4091, 0.4195]","[1.9453547428030973, 1.7485053309562653, 1.6342592184897204, 1.5440529653943795, 1.4683495793412573]","[1.9739834381981434, 1.8052793576459727, 1.727208335997014, 1.6740341025245826, 1.6499513544979807]",0.995,5,0.4888,0.4195,1.4683495793412573,1.6499513544979807,0.09752487531218751,0.8
