,N_hidden,a_train,a_val,c_train,c_val,decay rate,epochs,last_a_train,last_a_val,last_c_train,last_c_val,learning rate,momentum
0,50,"[0.3744, 0.4003, 0.4575, 0.4753, 0.4887, 0.5258, 0.5542, 0.5496, 0.5907, 0.6215]","[0.3522, 0.3607, 0.3849, 0.3856, 0.3944, 0.4037, 0.4015, 0.3885, 0.4103, 0.4129]","[1.745505288427389, 1.7109963341191476, 1.5539021534795396, 1.4905846304994375, 1.4307094370992803, 1.3351654704049916, 1.2612459998225583, 1.2702432591849149, 1.1555571067519603, 1.0702152831086085]","[1.822467000526807, 1.834779799035636, 1.8049137402320083, 1.7682406616393513, 1.8044383089739267, 1.7819018883535227, 1.8024630485563296, 1.9009692748349254, 1.831076143759838, 1.854626461771987]",0.995,10,0.6215,0.4129,1.0702152831086085,1.854626461771987,0.3328885456630202,0.8
0,50,"[0.3452, 0.4358, 0.4676, 0.4998, 0.5328, 0.5437, 0.5601, 0.5667, 0.5944, 0.6148]","[0.3332, 0.3916, 0.4024, 0.4134, 0.4105, 0.4163, 0.4111, 0.4073, 0.4141, 0.4142]","[1.7931048277186494, 1.588113718046678, 1.5033850240954507, 1.401136350590588, 1.331013638086277, 1.3013071055797907, 1.2436107902501634, 1.2411874567729582, 1.1823641422086941, 1.0919833287439]","[1.839373358951278, 1.7262180313302269, 1.7272102823704976, 1.6998559740798151, 1.6972133009641173, 1.7110165731796827, 1.775726458330245, 1.859856235315437, 1.8653949701543038, 1.8746456101982942]",0.995,10,0.6148,0.4142,1.0919833287439,1.8746456101982942,0.2536293681242058,0.8
0,50,"[0.3545, 0.4081, 0.4615, 0.4719, 0.5211, 0.5417, 0.5532, 0.569, 0.6109, 0.618]","[0.3391, 0.3714, 0.3993, 0.3994, 0.4235, 0.4196, 0.4183, 0.4213, 0.4377, 0.431]","[1.8037940894657178, 1.6288572252122169, 1.5259449849573004, 1.4570581469722446, 1.3516217216294204, 1.329345895103823, 1.2870579047344826, 1.227204798742639, 1.1157837500107264, 1.0931702485074353]","[1.8490297126136004, 1.7427252896343692, 1.7022384069684988, 1.7071228452681484, 1.6678068448392729, 1.701813924070486, 1.724274185895753, 1.7241233331849515, 1.6892918158840589, 1.7340905283931067]",0.995,10,0.618,0.431,1.0931702485074353,1.7340905283931067,0.17437019058539147,0.8
0,50,"[0.3071, 0.3809, 0.4241, 0.4467, 0.4907, 0.5001, 0.5242, 0.5485, 0.5327, 0.5799]","[0.2863, 0.3606, 0.3939, 0.4045, 0.4253, 0.4259, 0.4366, 0.4411, 0.4179, 0.4392]","[1.942498278304723, 1.7422886975233767, 1.619017206246663, 1.5472200217630852, 1.4729545820324086, 1.4310740781943343, 1.3617706072129423, 1.3053216572065638, 1.3116468176999871, 1.2115770807350064]","[1.9704426898823628, 1.7982404315980085, 1.7214623471023744, 1.6869380155819174, 1.6482329955995425, 1.6478689091020569, 1.621226559238097, 1.61086162260146, 1.6659979975548216, 1.6260655198496545]",0.995,10,0.5799,0.4392,1.2115770807350064,1.6260655198496545,0.09511101304657718,0.8
0,50,"[0.37, 0.438, 0.4375, 0.5011, 0.5416, 0.5151, 0.5825, 0.577, 0.5773, 0.6106]","[0.3378, 0.3886, 0.3727, 0.4114, 0.4099, 0.395, 0.4232, 0.4111, 0.4053, 0.4126]","[1.7366539462316113, 1.577339102666397, 1.5810307589854227, 1.4020197084840091, 1.3121043643223484, 1.3801946405774763, 1.2056745134690048, 1.1963646063185618, 1.2004539993972827, 1.0939761204673515]","[1.8260328555295418, 1.743476208028295, 1.7905469866855772, 1.710187805609205, 1.7007543313575635, 1.855644495652684, 1.7561668256932954, 1.836271642534144, 1.8954921545052912, 1.8815065494364709]",0.995,10,0.6106,0.4126,1.0939761204673515,1.8815065494364709,0.3328885456630202,0.8
0,50,"[0.3814, 0.4387, 0.463, 0.4981, 0.5269, 0.5533, 0.5739, 0.59, 0.6239, 0.6179]","[0.3618, 0.3943, 0.401, 0.4211, 0.4125, 0.4166, 0.4276, 0.4139, 0.4274, 0.4128]","[1.7368190703331514, 1.5855025908664626, 1.5216336312501215, 1.4227044863607512, 1.346321967642192, 1.2671516139967127, 1.2242768926408394, 1.1735346230866115, 1.0778996040578837, 1.1044075031704612]","[1.8024752401290078, 1.7273828809039882, 1.724262478747394, 1.6948429307156228, 1.7061068834764141, 1.7214326717312929, 1.7196070631251736, 1.7490245158200997, 1.7452222325174505, 1.8147635818905292]",0.995,10,0.6179,0.4128,1.1044075031704612,1.8147635818905292,0.2536293681242058,0.8
0,50,"[0.3479, 0.4121, 0.4633, 0.4909, 0.5039, 0.5386, 0.5523, 0.5824, 0.568, 0.626]","[0.336, 0.3764, 0.4043, 0.412, 0.4151, 0.4162, 0.421, 0.4205, 0.4121, 0.4311]","[1.8159343500865368, 1.6369359137117618, 1.525970386230951, 1.4372806271300336, 1.3810086576491722, 1.3187247641592366, 1.2828129446883871, 1.1991385313381395, 1.217405404472674, 1.0759350319561025]","[1.8624495533073306, 1.738706335993706, 1.689412322399299, 1.6798797052977599, 1.6830671605780418, 1.6953409466562055, 1.7141075912521573, 1.6969900452421653, 1.8042954221459804, 1.722253217954944]",0.995,10,0.626,0.4311,1.0759350319561025,1.722253217954944,0.17437019058539147,0.8
0,50,"[0.2983, 0.3705, 0.4235, 0.4596, 0.482, 0.5053, 0.5236, 0.543, 0.5605, 0.5889]","[0.2796, 0.3493, 0.3935, 0.4082, 0.4176, 0.4246, 0.4343, 0.4321, 0.4401, 0.4462]","[1.9494590832142231, 1.7505025496170952, 1.6242090591916734, 1.5383317165702872, 1.4663047267119027, 1.4125510705672526, 1.3551116016481775, 1.3067073420775426, 1.253809450822918, 1.1983926814819303]","[1.9786044425732732, 1.8076075678360344, 1.7213143484952171, 1.6806914219125781, 1.6496954969211794, 1.644546852187669, 1.6368965589502535, 1.6195078838676742, 1.6244010788818664, 1.617487198822801]",0.995,10,0.5889,0.4462,1.1983926814819303,1.617487198822801,0.09511101304657718,0.8
0,50,"[0.3787, 0.4247, 0.4732, 0.5052, 0.5278, 0.559, 0.5467, 0.5659, 0.558, 0.6135]","[0.3503, 0.3785, 0.4, 0.4054, 0.4171, 0.4167, 0.3956, 0.4062, 0.3851, 0.4191]","[1.727310944868913, 1.6149745201347045, 1.5152843811668484, 1.3978884171836308, 1.3670505204362664, 1.2550448271355514, 1.3055431665735633, 1.2235800471052687, 1.2400786151543959, 1.1167180018556655]","[1.8012224073575613, 1.7656322526946664, 1.7431518486741822, 1.7203421847928508, 1.7419451343523047, 1.7075231696523587, 1.855544580871537, 1.8412313998660481, 1.951715867900503, 1.873659023469362]",0.995,10,0.6135,0.4191,1.1167180018556655,1.873659023469362,0.3328885456630202,0.8
0,50,"[0.3607, 0.4272, 0.4821, 0.5034, 0.5373, 0.5582, 0.5272, 0.6128, 0.5976, 0.5877]","[0.3382, 0.3797, 0.4084, 0.412, 0.4187, 0.416, 0.3991, 0.4358, 0.4252, 0.4104]","[1.7630251164657669, 1.6081374794913401, 1.4787134423241064, 1.4276106415001946, 1.315964921856894, 1.2679591845248448, 1.3236936954756326, 1.1021712803035495, 1.1511379056538664, 1.173957351649143]","[1.8236148081095194, 1.7431153554505396, 1.699167235876228, 1.7003693182873583, 1.6890331297733465, 1.7224296697770416, 1.8541056310421768, 1.7153303070247363, 1.8381150535423327, 1.9315698823422918]",0.995,10,0.5877,0.4104,1.173957351649143,1.9315698823422918,0.2536293681242058,0.8
