,N_hidden,a_train,a_val,c_train,c_val,decay rate,epochs,lam,last_a_train,last_a_val,last_c_train,last_c_val,learning rate,momentum
0,50,"[0.3524, 0.391, 0.4452, 0.4477, 0.4868]","[0.3269, 0.3492, 0.3793, 0.3789, 0.4032]","[1.806880865637608, 1.7712364812242065, 1.6405008269729122, 1.6954280105863508, 1.5811158870149102]","[1.9016851227627571, 1.9216088444518713, 1.8344045312058352, 1.9237239914955437, 1.8881164062713418]",0.995,5,0.001,0.4868,0.4032,1.5811158870149102,1.8881164062713418,0.48762437656093754,0.8
0,50,"[0.3463, 0.4281, 0.472, 0.4802, 0.4993]","[0.3348, 0.3814, 0.4035, 0.4035, 0.3993]","[1.8214048438584398, 1.6371462488585227, 1.5657744286682858, 1.5334117315807096, 1.487053923600237]","[1.8844518945860902, 1.7728340102221005, 1.741544650116323, 1.773562588852174, 1.789860802794636]",0.995,5,0.001,0.4993,0.3993,1.487053923600237,1.789860802794636,0.24381218828046877,0.8
0,50,"[0.2948, 0.3812, 0.4234, 0.4619, 0.4713]","[0.2772, 0.3595, 0.3888, 0.4054, 0.4145]","[1.9532770253815743, 1.7657276649899303, 1.6602179898818017, 1.579674481354567, 1.5305270150371337]","[1.9824672858176633, 1.817986951157831, 1.75256623844688, 1.7094205388746468, 1.7013958982511452]",0.995,5,0.001,0.4713,0.4145,1.5305270150371337,1.7013958982511452,0.09752487531218751,0.8
0,50,"[0.2295, 0.3089, 0.3692, 0.3969, 0.4136]","[0.2183, 0.2941, 0.3468, 0.3654, 0.3807]","[2.109728490751991, 1.914934147385331, 1.806788405819364, 1.7272847076133047, 1.6732228016756399]","[2.127215871090805, 1.9463879990900168, 1.8524756197105037, 1.7924682028168408, 1.7635241992409847]",0.995,5,0.001,0.4136,0.3807,1.6732228016756399,1.7635241992409847,0.048762437656093754,0.8
0,50,"[0.2078, 0.1889, 0.1939, 0.2275, 0.2579]","[0.1978, 0.1805, 0.1844, 0.2161, 0.2454]","[2.309767178685494, 2.2771042933566483, 2.2010285122672117, 2.130436641773145, 2.070482188347728]","[2.3104664626140434, 2.280307127583646, 2.210735437172454, 2.1460023268232478, 2.089459859346763]",0.995,5,0.001,0.2579,0.2454,2.070482188347728,2.089459859346763,0.00975248753121875,0.8
0,50,"[0.1464, 0.1695, 0.1902, 0.2099, 0.2087]","[0.1369, 0.1624, 0.1793, 0.1972, 0.1975]","[2.314066118686687, 2.306906968737431, 2.291706953442106, 2.262447468573294, 2.2197018478002746]","[2.314609178245014, 2.3079517765799493, 2.293779270207805, 2.2665992598611724, 2.2272043848944327]",0.995,5,0.001,0.2087,0.1975,2.2197018478002746,2.2272043848944327,0.004876243765609375,0.8
0,50,"[0.093, 0.1133, 0.126, 0.1369, 0.1492]","[0.0891, 0.1125, 0.126, 0.1368, 0.1452]","[2.3182912616312636, 2.317335965421647, 2.3163652799947627, 2.3153410549674933, 2.3142313770465943]","[2.3183955027771628, 2.317503779246159, 2.316599144607688, 2.3156443141806617, 2.314614081471635]",0.995,5,0.001,0.1492,0.1452,2.3142313770465943,2.314614081471635,0.000975248753121875,0.8
0,50,"[0.3573, 0.3952, 0.4138, 0.4095, 0.409]","[0.3397, 0.3554, 0.3723, 0.3605, 0.3598]","[1.9081358342852062, 1.845879418016502, 1.8257836399813856, 1.8590035225121526, 1.8803112307218395]","[1.9682881232781182, 1.9650955576262361, 1.9589466177549157, 1.9761947632918986, 2.002777985807002]",0.995,5,0.005,0.409,0.3598,1.8803112307218395,2.002777985807002,0.48762437656093754,0.8
0,50,"[0.3593, 0.4162, 0.4413, 0.4519, 0.4837]","[0.3439, 0.3799, 0.4015, 0.3943, 0.413]","[1.8626693817440376, 1.7529798246352448, 1.7201210593139555, 1.7014682970011565, 1.6733542872160825]","[1.9127212929317412, 1.8513098209679715, 1.8399809889350098, 1.8561400810864863, 1.8396564472807737]",0.995,5,0.005,0.4837,0.413,1.6733542872160825,1.8396564472807737,0.24381218828046877,0.8
0,50,"[0.2881, 0.3805, 0.4065, 0.4371, 0.4577]","[0.272, 0.3608, 0.377, 0.4036, 0.4035]","[2.0336582261626965, 1.8524367920414924, 1.7675142318062682, 1.7067957532325762, 1.6813667108977786]","[2.061155916833181, 1.900547904280982, 1.8408233295953114, 1.8091305669917552, 1.8087255305145453]",0.995,5,0.005,0.4577,0.4035,1.6813667108977786,1.8087255305145453,0.09752487531218751,0.8
0,50,"[0.2104, 0.3054, 0.355, 0.3875, 0.4057]","[0.1991, 0.2921, 0.335, 0.3617, 0.3786]","[2.194629136079144, 2.003978857025172, 1.894434883394084, 1.8191922786501897, 1.7752246167059704]","[2.2098787891112224, 2.0320192056170767, 1.9322617096168566, 1.8730539690026944, 1.8440692592500534]",0.995,5,0.005,0.4057,0.3786,1.7752246167059704,1.8440692592500534,0.048762437656093754,0.8
0,50,"[0.1899, 0.1833, 0.1936, 0.2191, 0.2508]","[0.1777, 0.1762, 0.1864, 0.207, 0.2394]","[2.3670578367998876, 2.327407091066626, 2.2500597260857034, 2.1849588307934, 2.1330819720616585]","[2.367829379735613, 2.331018608242106, 2.260401517757867, 2.2003484816205434, 2.1521894560735833]",0.995,5,0.005,0.2508,0.2394,2.1330819720616585,2.1521894560735833,0.00975248753121875,0.8
0,50,"[0.1435, 0.2036, 0.2153, 0.1988, 0.1935]","[0.1349, 0.1871, 0.1968, 0.1869, 0.1821]","[2.374914958250171, 2.3669163315635178, 2.3519319954929774, 2.3242269736064305, 2.2867698020942573]","[2.3752935867270555, 2.367833475161583, 2.3538675580081954, 2.328103347305598, 2.293501442840728]",0.995,5,0.005,0.1935,0.1821,2.2867698020942573,2.293501442840728,0.004876243765609375,0.8
0,50,"[0.1335, 0.1448, 0.1573, 0.1651, 0.1712]","[0.1307, 0.1435, 0.1544, 0.1647, 0.1716]","[2.37864799840988, 2.377628944293867, 2.3765669979606545, 2.37545003674564, 2.374216757409235]","[2.3787203805719774, 2.3777573780984693, 2.37675282149575, 2.3756967908663107, 2.374539677733427]",0.995,5,0.005,0.1712,0.1716,2.374216757409235,2.374539677733427,0.000975248753121875,0.8
