,N_hidden,a_train,a_val,c_train,c_val,decay rate,epochs,lam,last_a_train,last_a_val,last_c_train,last_c_val,learning rate,momentum
0,50,"[0.3673, 0.414, 0.4394, 0.4281, 0.4472, 0.4542, 0.4679, 0.4678, 0.4529, 0.4812]","[0.3449, 0.3826, 0.3789, 0.3786, 0.3898, 0.3923, 0.4003, 0.4057, 0.3996, 0.4169]","[1.830395641509652, 1.7878271843992197, 1.7486034780345896, 1.7602974154074238, 1.795383286815319, 1.7587335217346414, 1.7576846079389339, 1.7623696371244661, 1.7786500247607158, 1.7210708554390237]","[1.8964869668361846, 1.8869362318956966, 1.894766665455724, 1.9089786656663126, 1.944668036573613, 1.9230234868828031, 1.926660181556108, 1.9406158010061731, 1.9431010341874124, 1.8858051334828052]",0.995,10,0.005,0.4812,0.4169,1.7210708554390237,1.8858051334828052,0.3328885456630202,0.8
0,50,"[0.3656, 0.4134, 0.4204, 0.4209, 0.483, 0.4794, 0.4807, 0.4703, 0.4746, 0.4834]","[0.3416, 0.3775, 0.3759, 0.3699, 0.4137, 0.4171, 0.4128, 0.4094, 0.4118, 0.4077]","[1.864949650536067, 1.7722322587876111, 1.759897752613212, 1.763498861795589, 1.6755596464282312, 1.6875883705000605, 1.6898811403626566, 1.7183486904666987, 1.6888052717949547, 1.6997062241792789]","[1.922061852601067, 1.8793284972842883, 1.885044897841839, 1.9114664501969703, 1.8413731630938222, 1.873403018947124, 1.8608279169977464, 1.9130320832141097, 1.8695685242230236, 1.9100914448532735]",0.995,10,0.005,0.4834,0.4077,1.6997062241792789,1.9100914448532735,0.2536293681242058,0.8
0,50,"[0.3465, 0.4064, 0.4103, 0.447, 0.4841, 0.4772, 0.506, 0.4984, 0.5042, 0.5169]","[0.3227, 0.3652, 0.3775, 0.4005, 0.4203, 0.4091, 0.433, 0.4206, 0.4231, 0.4316]","[1.909233088523544, 1.7809508330909112, 1.7611808630083354, 1.7121673502984331, 1.645656082893282, 1.6696468147771046, 1.6295478914296224, 1.64734186306175, 1.6454001179024331, 1.6212745607347183]","[1.9467855158144878, 1.8673689754412035, 1.8751478714897536, 1.8509975827416627, 1.7993188367841888, 1.8493790319786885, 1.8244756066741057, 1.8410695741727519, 1.8509733623379718, 1.8354517282011424]",0.995,10,0.005,0.5169,0.4316,1.6212745607347183,1.8354517282011424,0.17437019058539147,0.8
0,50,"[0.2971, 0.3699, 0.4107, 0.4357, 0.4434, 0.4747, 0.4782, 0.4995, 0.5124, 0.5171]","[0.2801, 0.3507, 0.3849, 0.3942, 0.399, 0.413, 0.4146, 0.4322, 0.4341, 0.4317]","[2.032919648860843, 1.8464719273090415, 1.7538394500016026, 1.7120986059317507, 1.6960278641104491, 1.6527248384427795, 1.6466908465394068, 1.6154010268817225, 1.5955546325466234, 1.6003061359213584]","[2.0590896636291878, 1.8972519095995353, 1.8330456080823263, 1.818521398786788, 1.8256334502045668, 1.801828954983581, 1.8089572538391894, 1.7919213946668893, 1.7924372806357283, 1.8075562217539085]",0.995,10,0.005,0.5171,0.4317,1.6003061359213584,1.8075562217539085,0.09511101304657718,0.8
0,50,"[0.3634, 0.4317, 0.4577, 0.4668, 0.4529, 0.4503, 0.4745, 0.4771, 0.4742, 0.4955]","[0.3485, 0.3804, 0.3964, 0.4063, 0.3955, 0.3864, 0.3916, 0.4132, 0.4059, 0.4165]","[1.8581040801404138, 1.7532642040352404, 1.712991764182167, 1.7028903915217675, 1.7353998461080171, 1.7376346564235798, 1.7288559445189693, 1.7104682395171136, 1.7157720122422893, 1.7120967153158801]","[1.9234955729201009, 1.8782139809125518, 1.8723505838791081, 1.8565547852896134, 1.9014616833420617, 1.9372443145927511, 1.9410095823129698, 1.9023139130561624, 1.9242311677022328, 1.9124169132955786]",0.995,10,0.00425,0.4955,0.4165,1.7120967153158801,1.9124169132955786,0.3328885456630202,0.8
0,50,"[0.37, 0.4199, 0.4399, 0.4602, 0.4857, 0.4778, 0.4541, 0.514, 0.4898, 0.4808]","[0.3467, 0.3764, 0.392, 0.3958, 0.4239, 0.4056, 0.3833, 0.426, 0.4138, 0.4026]","[1.8436914098768178, 1.7453964007932266, 1.7106244139316462, 1.6905588666499598, 1.6550647551253674, 1.6909526361036393, 1.7301684200506822, 1.617726583565306, 1.6495628687804038, 1.6951937893331546]","[1.8991087234310664, 1.8610875099039363, 1.8620095021732046, 1.8566631375686993, 1.8393095249574354, 1.8827527655160678, 1.926707223685027, 1.8311865096595794, 1.8768808455683186, 1.914378031402689]",0.995,10,0.00425,0.4808,0.4026,1.6951937893331546,1.914378031402689,0.2536293681242058,0.8
0,50,"[0.3317, 0.4126, 0.4389, 0.4753, 0.4795, 0.4939, 0.4932, 0.5105, 0.5172, 0.5168]","[0.3167, 0.3823, 0.4006, 0.4191, 0.4116, 0.4232, 0.4225, 0.4206, 0.4276, 0.4298]","[1.9023521101657779, 1.758905229293235, 1.7107835273792529, 1.638439194948927, 1.643050176648475, 1.6259933367426902, 1.6322655384921005, 1.6108367981255736, 1.5983545868500042, 1.6195572123315205]","[1.942691694663729, 1.8417687248947086, 1.8331721967852173, 1.7898010623173182, 1.828468800372178, 1.8132937070740032, 1.8444993152891542, 1.8275180861882026, 1.835869504074325, 1.8649227256586063]",0.995,10,0.00425,0.5168,0.4298,1.6195572123315205,1.8649227256586063,0.17437019058539147,0.8
0,50,"[0.2987, 0.3616, 0.4036, 0.4317, 0.4501, 0.483, 0.4906, 0.5032, 0.5169, 0.5209]","[0.2843, 0.3502, 0.3758, 0.394, 0.4031, 0.4158, 0.4232, 0.4313, 0.4282, 0.4282]","[2.017151956760506, 1.8531678761617458, 1.7605831312431033, 1.7051152507950058, 1.6721193358840145, 1.6210488538718766, 1.6014055501309425, 1.583794606170974, 1.5715154626219137, 1.5673324447133326]","[2.04339311682169, 1.8993522388639899, 1.838061266014964, 1.80831563093922, 1.8009230716253912, 1.7747780491860226, 1.774476238948157, 1.784495317855358, 1.793137835573342, 1.7969107488316471]",0.995,10,0.00425,0.5209,0.4282,1.5673324447133326,1.7969107488316471,0.09511101304657718,0.8
0,50,"[0.3645, 0.4061, 0.4365, 0.4575, 0.4443, 0.4774, 0.456, 0.4754, 0.439, 0.4648]","[0.3464, 0.3626, 0.3865, 0.3921, 0.3792, 0.4041, 0.3995, 0.4053, 0.382, 0.388]","[1.8550314519698547, 1.771413211681817, 1.7492417840093952, 1.7065605374958583, 1.7563257218574277, 1.7116247005336938, 1.7334104495519138, 1.6996491167194547, 1.7531322544846462, 1.7444065755627811]","[1.917126174206317, 1.9044373043807372, 1.8930613469504187, 1.8850485722479542, 1.936881645378782, 1.9254316254189356, 1.9220308644849369, 1.914550778739504, 1.9532086171957554, 1.9682748934361092]",0.995,10,0.0034999999999999996,0.4648,0.388,1.7444065755627811,1.9682748934361092,0.3328885456630202,0.8
0,50,"[0.3616, 0.4138, 0.444, 0.4652, 0.4749, 0.5003, 0.5056, 0.4969, 0.5157, 0.5104]","[0.3437, 0.3743, 0.389, 0.3927, 0.4111, 0.4188, 0.4162, 0.4043, 0.4207, 0.4212]","[1.8451069253743517, 1.7340968074211647, 1.692401897489328, 1.6544213520917197, 1.6462423147043053, 1.6007118933197484, 1.6283790895703756, 1.6226195928238014, 1.6264498187223486, 1.6121781048919317]","[1.9008559089825956, 1.8433014518636686, 1.8486411244314458, 1.8358156513620036, 1.8525100360259954, 1.8220426928065514, 1.8632953193900719, 1.877323452618774, 1.875681169068145, 1.8718251996379025]",0.995,10,0.0034999999999999996,0.5104,0.4212,1.6121781048919317,1.8718251996379025,0.2536293681242058,0.8
